x	 y	 dy
1.000000	6.074111	0.325821
1.473684	4.780489	0.296549
1.947368	3.008920	0.347530
2.421053	3.119901	0.296174
2.894737	2.815811	0.340685
3.368421	2.779508	0.377493
3.842105	1.907265	0.318610
4.315789	1.720367	0.331832
4.789474	2.226577	0.349888
5.263158	2.051736	0.342562
5.736842	1.953309	0.326355
6.210526	1.931011	0.363477
6.684211	1.513018	0.345596
7.157895	1.787030	0.381051
7.631579	1.760071	0.357927
8.105263	1.322534	0.412051
8.578947	2.273391	0.370124
9.052632	1.734318	0.384085
9.526316	1.034601	0.411534
10.000000	1.746459	0.375383
