x	 y	 dy
0.000000	1.329530	0.224836
0.526316	2.003096	0.219403
1.052632	3.124510	0.285016
1.578947	3.651968	0.355099
2.105263	5.050720	0.293555
2.631579	6.298639	0.319872
3.157895	6.812972	0.436855
3.684211	8.527184	0.422582
4.210526	9.188574	0.387053
4.736842	10.338347	0.463970
5.263158	11.261573	0.439987
5.789474	13.442456	0.466187
6.315789	13.624454	0.527888
6.842105	14.212005	0.446441
7.368421	16.133453	0.482175
7.894737	16.097716	0.566622
8.421053	17.961243	0.570411
8.947368	17.595317	0.663081
9.473684	19.112892	0.628283
10.000000	21.123901	0.629385
