x	 y	 dy
1.000000	-1.210749	0.356923
1.473684	-0.520833	0.338042
1.947368	-0.408594	0.333165
2.421053	-0.112192	0.333366
2.894737	0.785352	0.283969
3.368421	1.231371	0.331376
3.842105	0.953832	0.353810
4.315789	1.594423	0.439172
4.789474	1.459255	0.412970
5.263158	1.246801	0.317111
5.736842	1.736383	0.430941
6.210526	2.322485	0.404956
6.684211	1.795577	0.399838
7.157895	2.653840	0.473742
7.631579	0.687894	0.504182
8.105263	2.517126	0.508669
8.578947	2.221643	0.429618
9.052632	2.125647	0.465592
9.526316	2.387897	0.507089
10.000000	1.323424	0.548777
