x	 y	 dy
0.000000	-0.273747	0.193410
0.263158	0.182838	0.223871
0.526316	0.488961	0.270653
0.789474	0.734477	0.223926
1.052632	1.237404	0.228377
1.315789	1.763360	0.250737
1.578947	2.655507	0.306409
1.842105	2.573493	0.301968
2.105263	3.066217	0.289370
2.368421	3.465453	0.333819
2.631579	3.374808	0.334491
2.894737	4.560726	0.373796
3.157895	5.172642	0.336833
3.421053	6.651552	0.361223
3.684211	6.327248	0.372447
3.947368	7.170298	0.353463
4.210526	7.741674	0.419410
4.473684	7.972151	0.431516
4.736842	9.723785	0.436996
5.000000	10.333078	0.442962
